_meta,end,min_kWh,site,start,_items,_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,userID.1
,,,,,,5bc90cb9f9af8b0d7fe77d00,39.0,"Thu, 26 Apr 2018 00:05:36 GMT","Thu, 26 Apr 2018 00:31:05 GMT","Thu, 26 Apr 2018 00:30:52 GMT",2.87,2_39_88_438_2018-04-26 00:05:36.143402,2.0,CA-502,2-39-88-438,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d01,39.0,"Thu, 26 Apr 2018 00:07:10 GMT","Thu, 26 Apr 2018 04:17:45 GMT","Thu, 26 Apr 2018 01:16:50 GMT",2.264,2_39_79_381_2018-04-26 00:07:09.533117,2.0,CA-490,2-39-79-381,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d02,39.0,"Thu, 26 Apr 2018 01:21:28 GMT","Thu, 26 Apr 2018 11:31:13 GMT","Thu, 26 Apr 2018 09:20:00 GMT",1.02,2_39_78_367_2018-04-26 01:21:27.557439,2.0,CA-494,2-39-78-367,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d03,39.0,"Thu, 26 Apr 2018 01:40:29 GMT","Thu, 26 Apr 2018 04:00:22 GMT","Thu, 26 Apr 2018 02:32:53 GMT",5.023,2_39_139_28_2018-04-26 01:40:28.805199,2.0,CA-303,2-39-139-28,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d04,39.0,"Thu, 26 Apr 2018 01:48:55 GMT","Thu, 26 Apr 2018 04:00:36 GMT","Thu, 26 Apr 2018 03:18:33 GMT",8.693,2_39_127_19_2018-04-26 01:48:54.561755,2.0,CA-309,2-39-127-19,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d05,39.0,"Thu, 26 Apr 2018 01:49:57 GMT","Thu, 26 Apr 2018 03:48:38 GMT","Thu, 26 Apr 2018 02:41:30 GMT",4.915,2_39_138_29_2018-04-26 01:49:57.021388,2.0,CA-304,2-39-138-29,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d06,39.0,"Thu, 26 Apr 2018 02:17:10 GMT","Thu, 26 Apr 2018 04:29:39 GMT","Thu, 26 Apr 2018 04:29:34 GMT",13.892,2_39_123_23_2018-04-26 02:17:10.267290,2.0,CA-313,2-39-123-23,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d07,39.0,"Thu, 26 Apr 2018 02:25:14 GMT","Thu, 26 Apr 2018 02:36:24 GMT","Thu, 26 Apr 2018 02:36:19 GMT",1.155,2_39_128_18_2018-04-26 02:25:13.890489,2.0,CA-308,2-39-128-18,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d08,39.0,"Thu, 26 Apr 2018 02:36:02 GMT","Thu, 26 Apr 2018 04:38:47 GMT","Thu, 26 Apr 2018 04:34:34 GMT",11.891,2_39_95_27_2018-04-26 02:36:01.816238,2.0,CA-319,2-39-95-27,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d09,39.0,"Thu, 26 Apr 2018 02:49:57 GMT","Thu, 26 Apr 2018 04:24:44 GMT","Thu, 26 Apr 2018 04:00:57 GMT",6.956,2_39_91_437_2018-04-26 02:49:57.469463,2.0,CA-317,2-39-91-437,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d0a,39.0,"Thu, 26 Apr 2018 03:07:04 GMT","Thu, 26 Apr 2018 03:30:00 GMT","Thu, 26 Apr 2018 03:29:55 GMT",2.568,2_39_128_18_2018-04-26 03:07:04.059557,2.0,CA-308,2-39-128-18,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d0b,39.0,"Thu, 26 Apr 2018 03:13:44 GMT","Thu, 26 Apr 2018 16:47:48 GMT","Thu, 26 Apr 2018 05:32:35 GMT",6.503,2_39_79_378_2018-04-26 03:13:43.624162,2.0,CA-326,2-39-79-378,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d0c,39.0,"Thu, 26 Apr 2018 03:33:58 GMT","Thu, 26 Apr 2018 05:36:31 GMT","Thu, 26 Apr 2018 04:46:04 GMT",2.272,2_39_125_559_2018-04-26 03:33:57.793302,2.0,CA-505,2-39-125-559,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc90cb9f9af8b0d7fe77d0d,39.0,"Thu, 26 Apr 2018 06:20:56 GMT","Thu, 26 Apr 2018 14:09:01 GMT","Thu, 26 Apr 2018 14:08:56 GMT",13.926,2_39_139_28_2018-04-26 06:20:55.934927,2.0,CA-303,2-39-139-28,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68ca,39.0,"Thu, 26 Apr 2018 11:31:17 GMT","Thu, 26 Apr 2018 12:51:36 GMT","Thu, 26 Apr 2018 12:51:30 GMT",4.632,2_39_78_364_2018-04-26 11:31:16.750134,2.0,CA-495,2-39-78-364,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68cb,39.0,"Thu, 26 Apr 2018 13:25:08 GMT","Fri, 27 Apr 2018 01:17:37 GMT","Thu, 26 Apr 2018 16:53:27 GMT",12.138,2_39_95_27_2018-04-26 13:25:08.191051,2.0,CA-319,2-39-95-27,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68cc,39.0,"Thu, 26 Apr 2018 13:54:17 GMT","Thu, 26 Apr 2018 23:08:24 GMT","Thu, 26 Apr 2018 23:07:12 GMT",7.108,2_39_79_380_2018-04-26 13:54:16.774334,2.0,CA-489,2-39-79-380,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68cd,39.0,"Thu, 26 Apr 2018 14:47:08 GMT","Fri, 27 Apr 2018 00:59:45 GMT","Fri, 27 Apr 2018 00:14:02 GMT",13.155,2_39_139_28_2018-04-26 14:47:07.799179,2.0,CA-303,2-39-139-28,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68ce,39.0,"Thu, 26 Apr 2018 14:59:44 GMT","Thu, 26 Apr 2018 23:51:12 GMT","Thu, 26 Apr 2018 16:09:28 GMT",7.186,2_39_79_376_2018-04-26 14:59:44.094036,2.0,CA-324,2-39-79-376,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68cf,39.0,"Thu, 26 Apr 2018 15:05:16 GMT","Fri, 27 Apr 2018 00:10:21 GMT","Thu, 26 Apr 2018 16:06:18 GMT",2.354,2_39_79_381_2018-04-26 15:05:15.788498,2.0,CA-490,2-39-79-381,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68d0,39.0,"Thu, 26 Apr 2018 15:05:56 GMT","Thu, 26 Apr 2018 23:16:29 GMT","Thu, 26 Apr 2018 17:09:59 GMT",13.413,2_39_88_438_2018-04-26 15:05:55.670467,2.0,CA-502,2-39-88-438,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68d1,39.0,"Thu, 26 Apr 2018 15:27:50 GMT","Fri, 27 Apr 2018 00:14:34 GMT","Thu, 26 Apr 2018 16:32:25 GMT",6.14,2_39_78_360_2018-04-26 15:27:50.360165,2.0,CA-322,2-39-78-360,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68d2,39.0,"Thu, 26 Apr 2018 15:28:15 GMT","Thu, 26 Apr 2018 19:41:54 GMT","Thu, 26 Apr 2018 19:00:07 GMT",6.087,2_39_138_29_2018-04-26 15:28:14.862980,2.0,CA-304,2-39-138-29,America/Los_Angeles,,,,,,,,,,
,,,,,,5bc91212f9af8b0d98ff68d3,39.0,"Thu, 26 Apr 2018 15:45:26 GMT","Fri, 27 Apr 2018 00:30:02 GMT","Thu, 26 Apr 2018 17:48:13 GMT",6.298,2_39_78_365_2018-04-26 15:45:25.544690,2.0,CA-321,2-39-78-365,America/Los_Angeles,,,,,,,,,,
